transaction_id,customer_id,amount,transaction_time,is_fraud
1,4174,255.88,2024-01-01 00:00:00,0
2,4507,369.14,2024-01-01 00:01:00,0
3,1860,2017.35,2024-01-01 00:02:00,0
4,2294,1479.98,2024-01-01 00:03:00,0
5,2130,1165.76,2024-01-01 00:04:00,0
6,2095,1408.62,2024-01-01 00:05:00,0
7,4772,4018.4,2024-01-01 00:06:00,0
8,4092,4646.49,2024-01-01 00:07:00,0
9,2638,2028.49,2024-01-01 00:08:00,0
10,3169,4531.02,2024-01-01 00:09:00,0
11,1466,1610.87,2024-01-01 00:10:00,0
12,2238,2384.8,2024-01-01 00:11:00,0
13,1330,1134.01,2024-01-01 00:12:00,0
14,2482,3204.18,2024-01-01 00:13:00,0
15,3135,4895.01,2024-01-01 00:14:00,0
16,4444,3019.45,2024-01-01 00:15:00,0
17,4171,1792.28,2024-01-01 00:16:00,0
18,3919,3240.85,2024-01-01 00:17:00,0
19,4735,618.99,2024-01-01 00:18:00,0
20,1130,4443.85,2024-01-01 00:19:00,0
21,2685,2517.9,2024-01-01 00:20:00,0
22,4380,2249.5,2024-01-01 00:21:00,0
23,1769,2931.39,2024-01-01 00:22:00,0
24,3391,3125.8,2024-01-01 00:23:00,0
25,2515,363.52,2024-01-01 00:24:00,0
26,4485,3414.67,2024-01-01 00:25:00,0
27,3853,1213.45,2024-01-01 00:26:00,0
28,3433,3571.19,2024-01-01 00:27:00,0
29,2215,4113.56,2024-01-01 00:28:00,0
30,1955,4020.77,2024-01-01 00:29:00,0
31,3324,2764.74,2024-01-01 00:30:00,0
32,2184,2603.25,2024-01-01 00:31:00,0
33,1459,718.67,2024-01-01 00:32:00,0
34,4385,3877.85,2024-01-01 00:33:00,1
35,1021,1360.69,2024-01-01 00:34:00,0
36,3300,2485.99,2024-01-01 00:35:00,0
37,1747,1424.95,2024-01-01 00:36:00,1
38,3904,673.47,2024-01-01 00:37:00,0
39,4632,3149.64,2024-01-01 00:38:00,0
40,1474,276.39,2024-01-01 00:39:00,0
41,2082,3744.48,2024-01-01 00:40:00,0
